signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,position_size,direction,return_pct,pnl,holding_days,exit_reason,outcome,stop_price,target_price,cash_before_trade,cash_after_trade,entry_source_index,exit_source_index,lookback,atr_window,breakout_buffer,stop_atr_multiplier,target_atr_multiplier,timeout_days,asset,train_start,train_end,test_start,test_end
2023-11-08,2023-11-09,2023-11-22,183.0515,191.2143,611,Long,4.457534143261522,4985.504919822706,10,timeout,Successful,178.0811,192.9922,111862.6051336658,116848.1100534885,649,658,40,14,0.0,1.5,3.0,10,AAPL,2022-10-12,2023-10-12,2023-10-13,2024-01-12
2023-12-05,2023-12-06,2023-12-19,194.5472,196.8415,600,Long,1.1775943841353824,1374.5862960815575,10,timeout,Successful,190.8015,202.0387,116848.1100534885,118222.69634957006,667,676,40,14,0.0,1.5,3.0,10,AAPL,2022-10-12,2023-10-12,2023-10-13,2024-01-12
2024-05-03,2024-05-06,2024-05-16,182.4412,190.7643,647,Long,4.560399733876352,5383.070498069108,9,profit_target,Successful,176.1273,190.8597,118222.69634957006,123605.76684763917,770,778,40,14,0.0,1.5,2.0,10,AAPL,2023-04-14,2024-04-15,2024-04-16,2024-07-16
2024-05-21,2024-05-22,2024-05-23,192.3661,186.9455,642,Long,-2.8195075138099095,-3482.06531606066,2,stop_loss,Stop-loss triggered,187.039,199.469,123605.76684763917,120123.70153157851,782,783,40,14,0.0,1.5,2.0,10,AAPL,2023-04-14,2024-04-15,2024-04-16,2024-07-16
2024-06-03,2024-06-04,2024-06-11,194.7373,200.0144,616,Long,2.7081819657876443,3248.6860340460553,6,profit_target,Successful,190.7045,200.1145,120123.70153157851,123372.38756562457,790,795,40,14,0.0,1.5,2.0,10,AAPL,2023-04-14,2024-04-15,2024-04-16,2024-07-16
2024-06-12,2024-06-13,2024-06-21,214.8474,207.837,574,Long,-3.2645898988967788,-4025.9704024100065,6,stop_loss,Stop-loss triggered,207.9409,224.056,123372.38756562457,119346.41716321456,797,802,40,14,0.0,1.5,2.0,10,AAPL,2023-04-14,2024-04-15,2024-04-16,2024-07-16
2024-10-15,2024-10-16,2024-10-29,231.7158,233.5532,515,Long,0.7912596032851705,944.2388875961478,10,timeout,Successful,223.0044,244.7829,119346.41716321456,120290.6560508107,883,892,20,14,0.0,2.0,3.0,10,AAPL,2023-10-13,2024-10-14,2024-10-15,2025-01-15
2024-11-26,2024-11-27,2024-12-09,234.5872,245.695,512,Long,4.733377665241156,5685.196720540756,8,profit_target,Successful,227.1001,245.818,120290.6560508107,125975.85277135146,913,920,20,14,0.0,2.0,3.0,10,AAPL,2023-10-13,2024-10-14,2024-10-15,2025-01-15
2024-12-10,2024-12-11,2024-12-24,248.084,257.9728,507,Long,3.9844818597738634,5011.624754010059,10,profit_target,Successful,241.4054,258.1018,125975.85277135146,130987.47752536152,922,931,20,14,0.0,2.0,3.0,10,AAPL,2023-10-13,2024-10-14,2024-10-15,2025-01-15
2024-12-26,2024-12-27,2024-12-31,257.9589,249.5898,507,Long,-3.245901142372702,-4245.1571029135375,3,stop_loss,Stop-loss triggered,249.7146,270.3253,130987.47752536152,126742.32042244799,933,935,20,14,0.0,2.0,3.0,10,AAPL,2023-10-13,2024-10-14,2024-10-15,2025-01-15
2025-08-07,2025-08-08,2025-08-08,220.9404,230.6408,573,Long,4.388897737762175,5556.294451868598,1,profit_target,Successful,211.1247,230.7561,126742.32042244799,132298.61487431658,1085,1085,20,14,0.0,2.0,2.0,10,AAPL,2024-07-17,2025-07-18,2025-07-21,2025-10-16
2025-08-13,2025-08-14,2025-08-27,234.177,230.3748,564,Long,-1.6251863839692553,-2146.4786257629457,10,timeout,Timed out,222.4456,245.9085,132298.61487431658,130152.13624855364,1089,1098,20,14,0.0,2.0,2.0,10,AAPL,2024-07-17,2025-07-18,2025-07-21,2025-10-16
2025-09-03,2025-09-04,2025-09-10,238.5692,230.1184,545,Long,-3.543835858968662,-4607.703391516596,5,stop_loss,Stop-loss triggered,230.2335,246.9049,130152.13624855364,125544.43285703704,1103,1107,20,14,0.0,2.0,2.0,10,AAPL,2024-07-17,2025-07-18,2025-07-21,2025-10-16
2025-09-19,2025-09-22,2025-10-01,248.4242,258.5191,505,Long,4.0620043751360315,5095.954982789102,8,profit_target,Successful,238.1999,258.6484,125544.43285703704,130640.38783982614,1115,1122,20,14,0.0,2.0,2.0,10,AAPL,2024-07-17,2025-07-18,2025-07-21,2025-10-16
2025-10-20,2025-10-21,2025-10-30,262.0109,272.5189,498,Long,4.008972072696384,5230.964912713156,8,profit_target,Successful,251.3667,272.6552,130640.38783982614,135871.3527525393,1136,1143,20,14,0.0,2.0,2.0,10,AAPL,2024-10-15,2025-10-16,2025-10-17,2026-01-16
2025-12-01,2025-12-02,2025-12-15,283.1415,273.9729,479,Long,-3.2396328360405526,-4393.744858093269,10,timeout,Timed out,271.4487,294.8343,135871.3527525393,131477.60789444603,1165,1174,20,14,0.0,2.0,2.0,10,AAPL,2024-10-15,2025-10-16,2025-10-17,2026-01-16
2026-02-04,2026-02-05,2026-02-12,278.2691,264.7195,472,Long,-4.870758567555293,-6397.400473402027,6,stop_loss,Stop-loss triggered,264.8519,291.6862,131477.60789444603,125080.207421044,1209,1214,20,14,0.0,2.0,2.0,10,AAPL,2025-01-16,2026-01-16,2026-01-20,2026-04-13
