timestamp,open,high,low,close,volume,source_index
2021-04-14,134.94000244140625,135.0,131.66000366210938,132.02999877929688,87222800,0
2021-04-15,133.82000732421875,135.0,133.63999938964844,134.5,89347100,1
2021-04-16,134.3000030517578,134.6699981689453,133.27999877929688,134.16000366210938,84922400,2
2021-04-19,133.50999450683594,135.47000122070312,133.33999633789062,134.83999633789062,94264200,3
2021-04-20,135.02000427246094,135.52999877929688,131.80999755859375,133.11000061035156,94812300,4
2021-04-21,132.36000061035156,133.75,131.3000030517578,133.5,68847100,5
2021-04-22,133.0399932861328,134.14999389648438,131.41000366210938,131.94000244140625,84566500,6
2021-04-23,132.16000366210938,135.1199951171875,132.16000366210938,134.32000732421875,78657500,7
2021-04-26,134.8300018310547,135.05999755859375,133.55999755859375,134.72000122070312,66905100,8
2021-04-27,135.00999450683594,135.41000366210938,134.11000061035156,134.38999938964844,66015800,9
2021-04-28,134.30999755859375,135.02000427246094,133.0800018310547,133.5800018310547,107760100,10
2021-04-29,136.47000122070312,137.07000732421875,132.4499969482422,133.47999572753906,151101000,11
2021-04-30,131.77999877929688,133.55999755859375,131.07000732421875,131.4600067138672,109839500,12
2021-05-03,132.0399932861328,134.07000732421875,131.8300018310547,132.5399932861328,75135100,13
2021-05-04,131.19000244140625,131.49000549316406,126.69999694824219,127.8499984741211,137564700,14
2021-05-05,129.1999969482422,130.4499969482422,127.97000122070312,128.10000610351562,84000900,15
2021-05-06,127.88999938964844,129.75,127.12999725341797,129.74000549316406,78128300,16
2021-05-07,130.85000610351562,131.25999450683594,129.47999572753906,130.2100067138672,78973300,17
2021-05-10,129.41000366210938,129.5399932861328,126.80999755859375,126.8499984741211,88071200,18
2021-05-11,123.5,126.2699966430664,122.7699966430664,125.91000366210938,126142800,19
2021-05-12,123.4000015258789,124.63999938964844,122.25,122.7699966430664,112172300,20
2021-05-13,124.58000183105469,126.1500015258789,124.26000213623047,124.97000122070312,105861300,21
2021-05-14,126.25,127.88999938964844,125.8499984741211,127.44999694824219,81918000,22
2021-05-17,126.81999969482422,126.93000030517578,125.16999816894531,126.2699966430664,74244600,23
2021-05-18,126.55999755859375,126.98999786376953,124.77999877929688,124.8499984741211,63342900,24
2021-05-19,123.16000366210938,124.91999816894531,122.86000061035156,124.69000244140625,92612000,25
2021-05-20,125.2300033569336,127.72000122070312,125.0999984741211,127.30999755859375,76857100,26
2021-05-21,127.81999969482422,128.0,125.20999908447266,125.43000030517578,79295400,27
2021-05-24,126.01000213623047,127.94000244140625,125.94000244140625,127.0999984741211,63092900,28
2021-05-25,127.81999969482422,128.32000732421875,126.31999969482422,126.9000015258789,72009500,29
2021-05-26,126.95999908447266,127.38999938964844,126.41999816894531,126.8499984741211,56575900,30
2021-05-27,126.44000244140625,127.63999938964844,125.08000183105469,125.27999877929688,94625600,31
2021-05-28,125.56999969482422,125.80000305175781,124.55000305175781,124.61000061035156,71311100,32
2021-06-01,125.08000183105469,125.3499984741211,123.94000244140625,124.27999877929688,67637100,33
2021-06-02,124.27999877929688,125.23999786376953,124.05000305175781,125.05999755859375,59278900,34
2021-06-03,124.68000030517578,124.8499984741211,123.12999725341797,123.54000091552734,76229200,35
2021-06-04,124.06999969482422,126.16000366210938,123.8499984741211,125.88999938964844,75169300,36
2021-06-07,126.16999816894531,126.31999969482422,124.83000183105469,125.9000015258789,71057600,37
2021-06-08,126.5999984741211,128.4600067138672,126.20999908447266,126.73999786376953,74403800,38
2021-06-09,127.20999908447266,127.75,126.5199966430664,127.12999725341797,56877900,39
2021-06-10,127.0199966430664,128.19000244140625,125.94000244140625,126.11000061035156,71186400,40
2021-06-11,126.52999877929688,127.44000244140625,126.0999984741211,127.3499984741211,53522400,41
2021-06-14,127.81999969482422,130.5399932861328,127.06999969482422,130.47999572753906,96906500,42
2021-06-15,129.94000244140625,130.60000610351562,129.38999938964844,129.63999938964844,62746300,43
2021-06-16,130.3699951171875,130.88999938964844,128.4600067138672,130.14999389648438,91815000,44
2021-06-17,129.8000030517578,132.5500030517578,129.64999389648438,131.7899932861328,96721700,45
2021-06-18,130.7100067138672,131.50999450683594,130.24000549316406,130.4600067138672,108953300,46
2021-06-21,130.3000030517578,132.41000366210938,129.2100067138672,132.3000030517578,79663300,47
2021-06-22,132.1300048828125,134.0800018310547,131.6199951171875,133.97999572753906,74783600,48
2021-06-23,133.77000427246094,134.32000732421875,133.22999572753906,133.6999969482422,60214200,49
2021-06-24,134.4499969482422,134.63999938964844,132.92999267578125,133.41000366210938,68711000,50
2021-06-25,133.4600067138672,133.88999938964844,132.80999755859375,133.11000061035156,70783700,51
2021-06-28,133.41000366210938,135.25,133.35000610351562,134.77999877929688,62111300,52
2021-06-29,134.8000030517578,136.49000549316406,134.35000610351562,136.3300018310547,64556100,53
2021-06-30,136.1699981689453,137.41000366210938,135.8699951171875,136.9600067138672,63261400,54
2021-07-01,136.60000610351562,137.3300018310547,135.75999450683594,137.27000427246094,52485800,55
2021-07-02,137.89999389648438,140.0,137.75,139.9600067138672,78852600,56
2021-07-06,140.07000732421875,143.14999389648438,140.07000732421875,142.02000427246094,108181800,57
2021-07-07,143.5399932861328,144.88999938964844,142.66000366210938,144.57000732421875,104911600,58
2021-07-08,141.5800018310547,144.05999755859375,140.6699981689453,143.24000549316406,105575500,59
2021-07-09,142.75,145.64999389648438,142.64999389648438,145.11000061035156,99890800,60
2021-07-12,146.2100067138672,146.32000732421875,144.0,144.5,76299700,61
2021-07-13,144.02999877929688,147.4600067138672,143.6300048828125,145.63999938964844,100827100,62
2021-07-14,148.10000610351562,149.57000732421875,147.67999267578125,149.14999389648438,127050800,63
2021-07-15,149.24000549316406,150.0,147.08999633789062,148.47999572753906,106820300,64
2021-07-16,148.4600067138672,149.75999450683594,145.8800048828125,146.38999938964844,93251400,65
2021-07-19,143.75,144.07000732421875,141.6699981689453,142.4499969482422,121434600,66
2021-07-20,143.4600067138672,147.10000610351562,142.9600067138672,146.14999389648438,96350000,67
2021-07-21,145.52999877929688,146.1300048828125,144.6300048828125,145.39999389648438,74993500,68
2021-07-22,145.94000244140625,148.1999969482422,145.80999755859375,146.8000030517578,77338200,69
