timestamp,open,high,low,close,volume,source_index
2021-04-14,91.66000366210938,92.52999877929688,89.51000213623047,90.66999816894531,19117400,0
2021-04-15,91.75,91.95999908447266,89.44999694824219,90.2699966430664,16017000,1
2021-04-16,90.44000244140625,91.33000183105469,90.08000183105469,90.66000366210938,12358700,2
2021-04-19,90.66999816894531,90.68000030517578,86.5199966430664,88.41000366210938,21361600,3
2021-04-20,88.37999725341797,88.94999694824219,86.52999877929688,87.4800033569336,17396900,4
2021-04-21,87.05999755859375,89.55999755859375,86.33000183105469,89.48999786376953,14781300,5
2021-04-22,88.19999694824219,88.36000061035156,83.9000015258789,84.70999908447266,34044100,6
2021-04-23,85.23999786376953,86.45999908447266,84.56999969482422,86.02999877929688,18118600,7
2021-04-26,86.47000122070312,88.30000305175781,86.11000061035156,87.83999633789062,14757700,8
2021-04-27,89.33000183105469,90.19000244140625,88.02999877929688,89.45999908447266,17681000,9
2021-04-28,87.66000366210938,87.76000213623047,85.3499984741211,86.02999877929688,19433500,10
2021-04-29,87.72000122070312,88.08999633789062,85.55000305175781,88.05999755859375,16463300,11
2021-04-30,86.93000030517578,88.4800033569336,85.55999755859375,86.06999969482422,14548100,12
2021-05-03,86.97000122070312,87.01000213623047,83.87000274658203,85.0199966430664,16300400,13
2021-05-04,84.13999938964844,85.44000244140625,82.02999877929688,84.41000366210938,17850500,14
2021-05-05,85.48999786376953,85.94999694824219,84.02999877929688,85.1500015258789,13172100,15
2021-05-06,84.87000274658203,85.12000274658203,83.27999877929688,84.80000305175781,13716900,16
2021-05-07,85.91000366210938,86.31999969482422,84.98999786376953,85.9800033569336,12746100,17
2021-05-10,84.94999694824219,85.0,80.80000305175781,80.8499984741211,24862900,18
2021-05-11,77.2699966430664,80.76000213623047,76.81999969482422,80.68000030517578,23227800,19
2021-05-12,79.13999938964844,79.97000122070312,76.41000366210938,76.80000305175781,23472600,20
2021-05-13,77.97000122070312,78.86000061035156,76.52999877929688,77.19000244140625,20153800,21
2021-05-14,78.79000091552734,80.1500015258789,77.08000183105469,79.69999694824219,18241100,22
2021-05-17,79.0999984741211,80.41999816894531,77.72000122070312,80.38999938964844,15011500,23
2021-05-18,80.55000305175781,80.91999816894531,78.80000305175781,78.87999725341797,20893800,24
2021-05-19,77.20999908447266,80.2699966430664,76.16000366210938,79.93000030517578,27300000,25
2021-05-20,80.5,81.48999786376953,79.5199966430664,81.12999725341797,17123000,26
2021-05-21,81.7699966430664,81.98999786376953,80.37000274658203,80.72000122070312,13076900,27
2021-05-24,81.41999816894531,83.62000274658203,81.36000061035156,82.9000015258789,15730400,28
2021-05-25,83.56999969482422,83.70999908447266,79.70999908447266,81.2300033569336,26272100,29
2021-05-26,81.58000183105469,82.44000244140625,81.0199966430664,82.23999786376953,12609800,30
2021-05-27,82.45999908447266,84.75,82.33000183105469,83.93000030517578,22286500,31
2021-05-28,84.22000122070312,84.7300033569336,83.22000122070312,84.13999938964844,11330300,32
2021-06-01,84.91999816894531,85.76000213623047,83.62000274658203,84.1500015258789,11067200,33
2021-06-02,84.38999938964844,84.81999969482422,83.44999694824219,84.33999633789062,10314200,34
2021-06-03,83.68000030517578,84.06999969482422,81.88999938964844,82.02999877929688,14742100,35
2021-06-04,82.97000122070312,84.37000274658203,82.8499984741211,83.76000213623047,12591100,36
2021-06-07,83.19000244140625,84.2300033569336,82.6500015258789,84.04000091552734,9006400,37
2021-06-08,84.97000122070312,84.9800033569336,80.01000213623047,80.52999877929688,29666500,38
2021-06-09,80.16999816894531,80.55999755859375,78.5199966430664,78.66000366210938,21434900,39
2021-06-10,79.4000015258789,80.83999633789062,78.52999877929688,79.27999877929688,22683300,40
2021-06-11,80.06999969482422,80.76000213623047,79.20999908447266,79.33999633789062,12675700,41
2021-06-14,79.5,80.94000244140625,79.37000274658203,80.48999786376953,14303000,42
2021-06-15,80.63999938964844,82.91000366210938,79.91999816894531,82.18000030517578,22308600,43
2021-06-16,82.7300033569336,83.11000061035156,80.12000274658203,80.48999786376953,18116400,44
2021-06-17,79.69999694824219,81.44000244140625,79.36000061035156,80.63999938964844,16003900,45
2021-06-18,78.9000015258789,79.27999877929688,76.12999725341797,76.94999694824219,39881500,46
2021-06-21,76.8499984741211,77.29000091552734,75.70999908447266,77.06999969482422,19810100,47
2021-06-22,77.61000061035156,78.27999877929688,77.05000305175781,77.66000366210938,16771800,48
2021-06-23,78.0999984741211,79.87000274658203,78.06999969482422,79.0199966430664,16662200,49
2021-06-24,80.43000030517578,80.9000015258789,79.91999816894531,80.58000183105469,15721000,50
2021-06-25,81.56999969482422,82.83999633789062,81.08999633789062,82.02999877929688,19603800,51
2021-06-28,82.62999725341797,83.5999984741211,82.16000366210938,83.37999725341797,18365500,52
2021-06-29,83.54000091552734,83.83999633789062,81.87000274658203,82.93000030517578,18530800,53
2021-06-30,84.8499984741211,85.4000015258789,83.43000030517578,84.9800033569336,40670800,54
2021-07-01,82.23999786376953,82.25,79.91000366210938,80.11000061035156,53299000,55
2021-07-02,80.61000061035156,80.88999938964844,78.88999938964844,80.33000183105469,22685500,56
2021-07-06,80.79000091552734,81.54000091552734,79.76000213623047,81.08000183105469,21126500,57
2021-07-07,81.69000244140625,81.80999755859375,77.94999694824219,78.22000122070312,23026900,58
2021-07-08,76.25,77.87999725341797,75.95999908447266,77.11000061035156,23114500,59
2021-07-09,77.41000366210938,78.94999694824219,76.7300033569336,78.73999786376953,15441100,60
2021-07-12,78.75,79.7300033569336,77.70999908447266,79.55999755859375,12639300,61
2021-07-13,79.27999877929688,79.5,78.0999984741211,78.44999694824219,14263400,62
2021-07-14,79.3499984741211,80.76000213623047,78.31999969482422,78.48999786376953,15952300,63
2021-07-15,78.33999633789062,78.45999908447266,76.33999633789062,76.91999816894531,16616800,64
2021-07-16,77.16000366210938,77.61000061035156,74.83999633789062,75.01000213623047,19132100,65
2021-07-19,73.83999633789062,74.68000030517578,73.19999694824219,74.58000183105469,23436900,66
2021-07-20,74.66000366210938,75.91999816894531,73.7699966430664,75.38999938964844,14855800,67
2021-07-21,75.3499984741211,77.23999786376953,75.33999633789062,77.19000244140625,15945800,68
2021-07-22,76.2300033569336,76.25,74.45999908447266,75.52999877929688,19042200,69
2021-07-23,75.93000030517578,76.04000091552734,74.9000015258789,75.94000244140625,12345200,70
2021-07-26,75.80999755859375,77.4800033569336,75.51000213623047,76.30000305175781,12023900,71
