timestamp,close,source_index,equity,daily_return
2021-04-14,90.66999816894531,0,100000.0,0.0
2021-04-15,90.2699966430664,1,100000.0,0.0
2021-04-16,90.66000366210938,2,100000.0,0.0
2021-04-19,88.41000366210938,3,100000.0,0.0
2021-04-20,87.4800033569336,4,100000.0,0.0
2021-04-21,89.48999786376953,5,100000.0,0.0
2021-04-22,84.70999908447266,6,100000.0,0.0
2021-04-23,86.02999877929688,7,100000.0,0.0
2021-04-26,87.83999633789062,8,100000.0,0.0
2021-04-27,89.45999908447266,9,100000.0,0.0
2021-04-28,86.02999877929688,10,100000.0,0.0
2021-04-29,88.05999755859375,11,100000.0,0.0
2021-04-30,86.06999969482422,12,100000.0,0.0
2021-05-03,85.0199966430664,13,100000.0,0.0
2021-05-04,84.41000366210938,14,100000.0,0.0
2021-05-05,85.1500015258789,15,100000.0,0.0
2021-05-06,84.80000305175781,16,100000.0,0.0
2021-05-07,85.9800033569336,17,100000.0,0.0
2021-05-10,80.8499984741211,18,100000.0,0.0
2021-05-11,80.68000030517578,19,100000.0,0.0
2021-05-12,76.80000305175781,20,100000.0,0.0
2021-05-13,77.19000244140625,21,100000.0,0.0
2021-05-14,79.69999694824219,22,100000.0,0.0
2021-05-17,80.38999938964844,23,100000.0,0.0
2021-05-18,78.87999725341797,24,100000.0,0.0
2021-05-19,79.93000030517578,25,100000.0,0.0
2021-05-20,81.12999725341797,26,100000.0,0.0
2021-05-21,80.72000122070312,27,100000.0,0.0
2021-05-24,82.9000015258789,28,100000.0,0.0
2021-05-25,81.2300033569336,29,100000.0,0.0
2021-05-26,82.23999786376953,30,100000.0,0.0
2021-05-27,83.93000030517578,31,100000.0,0.0
2021-05-28,84.13999938964844,32,100000.0,0.0
2021-06-01,84.1500015258789,33,100000.0,0.0
2021-06-02,84.33999633789062,34,100000.0,0.0
2021-06-03,82.02999877929688,35,100000.0,0.0
2021-06-04,83.76000213623047,36,100000.0,0.0
2021-06-07,84.04000091552734,37,100000.0,0.0
2021-06-08,80.52999877929688,38,100000.0,0.0
2021-06-09,78.66000366210938,39,100000.0,0.0
2021-06-10,79.27999877929688,40,100000.0,0.0
2021-06-11,79.33999633789062,41,100000.0,0.0
2021-06-14,80.48999786376953,42,100000.0,0.0
2021-06-15,82.18000030517578,43,100000.0,0.0
2021-06-16,80.48999786376953,44,100000.0,0.0
2021-06-17,80.63999938964844,45,100000.0,0.0
2021-06-18,76.94999694824219,46,100000.0,0.0
2021-06-21,77.06999969482422,47,100000.0,0.0
2021-06-22,77.66000366210938,48,100000.0,0.0
2021-06-23,79.0199966430664,49,100000.0,0.0
2021-06-24,80.58000183105469,50,100000.0,0.0
2021-06-25,82.02999877929688,51,100000.0,0.0
2021-06-28,83.37999725341797,52,100000.0,0.0
2021-06-29,82.93000030517578,53,100000.0,0.0
2021-06-30,84.9800033569336,54,100000.0,0.0
2021-07-01,80.11000061035156,55,100000.0,0.0
2021-07-02,80.33000183105469,56,100000.0,0.0
2021-07-06,81.08000183105469,57,100000.0,0.0
2021-07-07,78.22000122070312,58,100000.0,0.0
2021-07-08,77.11000061035156,59,100000.0,0.0
2021-07-09,78.73999786376953,60,100000.0,0.0
2021-07-12,79.55999755859375,61,100000.0,0.0
2021-07-13,78.44999694824219,62,100000.0,0.0
2021-07-14,78.48999786376953,63,100000.0,0.0
2021-07-15,76.91999816894531,64,100000.0,0.0
2021-07-16,75.01000213623047,65,100000.0,0.0
2021-07-19,74.58000183105469,66,100000.0,0.0
2021-07-20,75.38999938964844,67,100000.0,0.0
2021-07-21,77.19000244140625,68,100000.0,0.0
2021-07-22,75.52999877929688,69,100000.0,0.0
2021-07-23,75.94000244140625,70,100000.0,0.0
2021-07-26,76.30000305175781,71,100000.0,0.0
2021-07-27,74.22000122070312,72,100000.0,0.0
2021-07-28,75.55000305175781,73,100000.0,0.0
2021-07-29,77.08000183105469,74,100000.0,0.0
2021-07-30,77.58000183105469,75,100000.0,0.0
2021-08-02,77.63999938964844,76,100000.0,0.0
2021-08-03,80.86000061035156,77,100000.0,0.0
2021-08-04,81.9800033569336,78,100000.0,0.0
2021-08-05,81.48999786376953,79,100000.0,0.0
2021-08-06,82.0,80,100000.0,0.0
2021-08-09,80.20999908447266,81,100000.0,0.0
2021-08-10,75.91000366210938,82,100000.0,0.0
2021-08-11,75.02999877929688,83,100000.0,0.0
2021-08-12,70.25,84,100000.0,0.0
2021-08-13,70.91999816894531,85,100000.0,0.0
2021-08-16,70.93000030517578,86,100000.0,0.0
2021-08-17,70.77999877929688,87,100000.0,0.0
2021-08-18,70.62000274658203,88,100000.0,0.0
2021-08-19,70.27999877929688,89,100000.0,0.0
2021-08-20,70.2300033569336,90,100000.0,0.0
2021-08-23,71.73999786376953,91,100000.0,0.0
2021-08-24,71.9800033569336,92,100000.0,0.0
2021-08-25,74.04000091552734,93,100000.0,0.0
2021-08-26,72.7699966430664,94,100000.0,0.0
2021-08-27,74.0,95,100000.0,0.0
2021-08-30,73.16000366210938,96,100000.0,0.0
2021-08-31,73.69999694824219,97,100000.0,0.0
2021-09-01,73.72000122070312,98,100000.0,0.0
