asset,trade_count,average_return_per_trade_pct,sharpe_ratio,win_rate_pct,max_drawdown_pct,final_equity
MU,29,3.293515777145803,1.024135348760213,62.06896551724138,-15.583625254990618,237559.53800423618
AAPL,27,0.8929524878763787,0.357407580553021,59.25925925925925,-10.060299491186486,125080.207421044
NVDA,31,1.9677047462035533,0.6370211215655927,58.06451612903226,-20.480909506289503,172631.28338432548
XOM,23,0.003648505170877206,-0.2772776372550793,47.82608695652174,-22.64269912865019,97968.25238532783
GLD,34,0.21281432025365365,-0.09678324268564455,50.0,-9.19913369686155,106493.26899809479
