signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,position_size,direction,return_pct,pnl,holding_days,exit_reason,outcome,stop_price,target_price,cash_before_trade,cash_after_trade,entry_source_index,exit_source_index,lookback,atr_window,breakout_buffer,stop_atr_multiplier,target_atr_multiplier,timeout_days,asset,train_start,train_end,test_start,test_end
2025-06-03,2025-06-04,2025-06-10,102.4312,112.804,1323,Long,10.125181253940243,13721.287278288335,5,profit_target,Successful,97.2165,112.8605,135577.37966943526,149298.6669477236,1040,1044,20,14,0.0,1.5,3.0,10,MU,2024-04-16,2025-04-16,2025-04-17,2025-07-18
2025-06-11,2025-06-12,2025-06-24,114.1671,125.7634,1307,Long,10.156032354577196,15154.459939654975,8,profit_target,Successful,108.3374,125.8263,149298.6669477236,164453.12688737857,1046,1053,20,14,0.0,1.5,3.0,10,MU,2024-04-16,2025-04-16,2025-04-17,2025-07-18
2025-09-05,2025-09-08,2025-09-10,130.6153,138.8187,1259,Long,6.279378137675538,10326.100463108392,3,profit_target,Successful,124.4106,138.8881,164453.12688737857,174779.22735048697,1105,1107,55,14,0.0,1.5,2.0,10,MU,2024-07-17,2025-07-18,2025-07-21,2025-10-16
2025-09-11,2025-09-12,2025-09-18,153.6268,164.246,1137,Long,6.911233907658297,12072.104294781922,5,profit_target,Successful,145.6007,164.3282,174779.22735048697,186851.3316452689,1109,1113,55,14,0.0,1.5,2.0,10,MU,2024-07-17,2025-07-18,2025-07-21,2025-10-16
2025-10-01,2025-10-02,2025-10-06,185.0525,199.0401,1009,Long,7.557634710589611,14111.46128767071,3,profit_target,Successful,174.4871,199.1396,186851.3316452689,200962.7929329396,1123,1125,55,14,0.0,1.5,2.0,10,MU,2024-07-17,2025-07-18,2025-07-21,2025-10-16
2025-10-20,2025-10-21,2025-10-29,204.4022,225.1681,983,Long,10.158352512046598,20410.905098126357,7,profit_target,Successful,188.7432,225.2807,200962.7929329396,221373.69803106596,1136,1142,55,14,0.0,1.5,2.0,10,MU,2024-10-15,2025-10-16,2025-10-17,2026-01-16
2025-11-03,2025-11-04,2025-11-06,222.2511,242.7668,996,Long,9.229960151682292,20431.630400758848,3,profit_target,Successful,206.7732,242.8882,221373.69803106596,241805.3284318248,1146,1148,55,14,0.0,1.5,2.0,10,MU,2024-10-15,2025-10-16,2025-10-17,2026-01-16
2025-11-10,2025-11-11,2025-11-18,248.4642,228.6269,973,Long,-7.98476583183108,-19303.62124778109,6,stop_loss,Stop-loss triggered,228.7413,274.7613,241805.3284318248,222501.7071840437,1151,1156,55,14,0.0,1.5,2.0,10,MU,2024-10-15,2025-10-16,2025-10-17,2026-01-16
2025-12-10,2025-12-11,2025-12-12,261.6608,240.927,850,Long,-7.92480076299074,-17625.680073723634,2,stop_loss,Stop-loss triggered,241.0475,289.1451,222501.7071840437,204876.02711032008,1172,1173,55,14,0.0,1.5,2.0,10,MU,2024-10-15,2025-10-16,2025-10-17,2026-01-16
2025-12-19,2025-12-22,2026-01-02,277.2886,307.5633,738,Long,10.917145418545195,22340.733265782997,8,profit_target,Successful,254.4671,307.7171,204876.02711032008,227216.76037610308,1179,1186,55,14,0.0,1.5,2.0,10,MU,2024-10-15,2025-10-16,2025-10-17,2026-01-16
2026-01-21,2026-01-22,2026-01-30,396.8383,453.967,572,Long,14.395061301637025,32675.56952207684,7,profit_target,Successful,368.1605,454.194,227216.76037610308,259892.32989817992,1199,1205,20,14,0.0,1.5,3.0,10,MU,2025-01-16,2026-01-16,2026-01-20,2026-04-13
2026-03-16,2026-03-17,2026-03-23,452.7663,413.8625,574,Long,-8.593242207832425,-22332.791893943737,5,stop_loss,Stop-loss triggered,414.0695,530.1598,259892.32989817992,237559.53800423618,1236,1240,20,14,0.0,1.5,3.0,10,MU,2025-01-16,2026-01-16,2026-01-20,2026-04-13
