signal_timestamp,entry_timestamp,exit_timestamp,entry_price,exit_price,position_size,direction,return_pct,pnl,holding_days,exit_reason,outcome,stop_price,target_price,cash_before_trade,cash_after_trade,entry_source_index,exit_source_index,lookback,atr_window,breakout_buffer,stop_atr_multiplier,target_atr_multiplier,timeout_days,asset,train_start,train_end,test_start,test_end
2025-02-04,2025-02-05,2025-02-19,264.5822,270.7146,389,Long,2.3158026644919976,2383.481772171028,10,timeout,Successful,260.7315,272.2837,102974.1687136407,105357.65048581173,958,967,55,14,0.0,1.5,3.0,10,GLD,2024-01-16,2025-01-15,2025-01-16,2025-04-16
2025-02-24,2025-02-25,2025-02-25,271.5957,267.1421,387,Long,-1.6417060297575607,-1725.5568908854912,1,stop_loss,Stop-loss triggered,267.2757,280.2357,105357.65048581173,103632.09359492623,971,971,55,14,0.0,1.5,3.0,10,GLD,2024-01-16,2025-01-15,2025-01-16,2025-04-16
2025-03-13,2025-03-14,2025-03-27,276.4081,281.829,374,Long,1.9592566744423805,2025.4136872558738,10,timeout,Successful,271.5342,286.156,103632.09359492623,105657.50728218211,984,993,55,14,0.0,1.5,3.0,10,GLD,2024-01-16,2025-01-15,2025-01-16,2025-04-16
2025-03-28,2025-03-31,2025-04-03,287.6738,283.3331,367,Long,-1.5107816301649788,-1595.0269127159409,4,stop_loss,Stop-loss triggered,283.4748,296.0716,105657.50728218211,104062.48036946617,995,998,55,14,0.0,1.5,3.0,10,GLD,2024-01-16,2025-01-15,2025-01-16,2025-04-16
2025-04-21,2025-04-22,2025-04-23,317.6487,308.0864,327,Long,-3.012274072420224,-3128.8833111092245,2,stop_loss,Stop-loss triggered,308.2405,336.4652,104062.48036946617,100933.59705835694,1010,1011,40,14,0.0,1.5,3.0,10,GLD,2024-04-16,2025-04-16,2025-04-17,2025-07-18
2025-08-29,2025-09-02,2025-09-03,320.9804,327.8279,314,Long,2.1313044815438045,2148.095986087559,2,profit_target,Successful,317.4747,327.9919,100933.59705835694,103081.6930444445,1101,1102,55,14,0.0,1.5,3.0,10,GLD,2024-07-17,2025-07-18,2025-07-21,2025-10-16
2025-09-05,2025-09-08,2025-09-10,333.8268,329.009,308,Long,-1.4451495803101562,-1485.8835023823922,3,stop_loss,Stop-loss triggered,329.1736,343.1333,103081.6930444445,101595.80954206211,1105,1107,55,14,0.0,1.5,3.0,10,GLD,2024-07-17,2025-07-18,2025-07-21,2025-10-16
2025-09-15,2025-09-16,2025-09-18,340.26,334.0115,298,Long,-1.838368553810962,-1864.059613129677,3,stop_loss,Stop-loss triggered,334.1786,352.4229,101595.80954206211,99731.74992893243,1111,1113,55,14,0.0,1.5,3.0,10,GLD,2024-07-17,2025-07-18,2025-07-21,2025-10-16
2025-09-22,2025-09-23,2025-10-06,348.4041,360.9115,286,Long,3.5878840088951702,3575.0960739183793,10,profit_target,Successful,342.0602,361.092,99731.74992893243,103306.84600285081,1116,1125,55,14,0.0,1.5,3.0,10,GLD,2024-07-17,2025-07-18,2025-07-21,2025-10-16
2025-10-20,2025-10-21,2025-10-22,386.7333,371.8373,267,Long,-3.8536890718877475,-3979.2339907785354,2,stop_loss,Stop-loss triggered,372.0233,408.7983,103306.84600285081,99327.61201207228,1136,1137,40,14,0.0,2.0,3.0,10,GLD,2024-10-15,2025-10-16,2025-10-17,2026-01-16
2025-12-22,2025-12-23,2025-12-29,410.5051,400.2521,241,Long,-2.499696202705679,-2472.992903221966,4,stop_loss,Stop-loss triggered,400.4523,425.5844,99327.61201207228,96854.61910885031,1180,1183,40,14,0.0,2.0,3.0,10,GLD,2024-10-15,2025-10-16,2025-10-17,2026-01-16
2026-01-20,2026-01-21,2026-01-26,447.0934,467.7287,216,Long,4.613362735611769,4455.225006828943,4,profit_target,Successful,433.1806,467.9627,96854.61910885031,101309.84411567925,1198,1201,40,14,0.0,2.0,3.0,10,GLD,2025-01-16,2026-01-16,2026-01-20,2026-04-13
2026-01-27,2026-01-28,2026-01-29,483.6317,508.4424,209,Long,5.128091375578266,5183.424882415537,2,profit_target,Successful,466.9217,508.6967,101309.84411567925,106493.26899809479,1203,1204,40,14,0.0,2.0,3.0,10,GLD,2025-01-16,2026-01-16,2026-01-20,2026-04-13
